,Frequency
0,3.04
1,3.04078
2,3.04156
3,3.04234
4,3.04312
5,3.0439
6,3.04468
7,3.04546
8,3.04624
9,3.04702
10,3.0478
11,3.04858
12,3.04936
13,3.05014
14,3.05092
15,3.0517
16,3.05248
17,3.05326
18,3.05404
19,3.05482
20,3.0556
21,3.05638
22,3.05716
23,3.05794
24,3.05872
25,3.0595
26,3.06028
27,3.06106
28,3.06184
29,3.06262
30,3.0634
31,3.06418
32,3.06496
33,3.06574
34,3.06652
35,3.0673
36,3.06808
37,3.06886
38,3.06964
39,3.07042
40,3.0712
41,3.07198
42,3.07276
43,3.07354
44,3.07432
45,3.0751
46,3.07588
47,3.07666
48,3.07744
49,3.07822
50,3.0789999999999997
51,3.07978
52,3.0805599999999997
53,3.08134
54,3.0821199999999997
55,3.0829
56,3.0836799999999998
57,3.08446
58,3.0852399999999998
59,3.08602
60,3.0867999999999998
61,3.08758
62,3.0883599999999998
63,3.08914
64,3.0899199999999998
65,3.0907
66,3.09148
67,3.09226
68,3.09304
69,3.09382
70,3.0946
71,3.09538
72,3.09616
73,3.09694
74,3.09772
75,3.0985
76,3.09928
77,3.10006
78,3.10084
79,3.10162
80,3.1024
81,3.10318
82,3.10396
83,3.10474
84,3.10552
85,3.1063
86,3.10708
87,3.10786
88,3.10864
89,3.10942
90,3.1102
91,3.11098
92,3.11176
93,3.11254
94,3.11332
95,3.1141
96,3.11488
97,3.11566
98,3.11644
99,3.1172199999999997
100,3.118
