,Tau,Signal Run 0,Background Run 0
0,5.36e-07,0.9768597612183564,0.9963031478238413
1,1.1034105263157894e-05,0.9453991551196225,0.9595852636934106
2,2.1532210526315788e-05,0.9985507408053843,0.9764977663100083
3,3.203031578947368e-05,0.9539472449864411,0.9889647524566845
4,4.252842105263158e-05,0.9747774030629193,0.9632846043351897
5,5.302652631578948e-05,0.9272210552401936,1.0427619468762581
6,6.352463157894735e-05,0.9734446637402475,1.0051829392354052
7,7.402273684210525e-05,0.9918685702340267,0.9754455051130682
8,8.452084210526315e-05,0.9772383328282592,0.9797086094211286
9,9.501894736842105e-05,0.9277176774030292,1.017106773881373
10,0.00010551705263157894,0.9722118628607694,1.0191938231957558
11,0.00011601515789473683,0.9838561537791265,1.0173610149141863
12,0.00012651326315789473,0.98880859064478,1.0100079435488971
13,0.00013701136842105262,0.9759699155068025,1.0052997440892701
14,0.00014750947368421052,0.9487820931982551,0.9792132530578204
15,0.00015800757894736842,1.007849995692633,0.9755979166260622
16,0.00016850568421052632,0.9606559540668572,0.9927528069716682
17,0.00017900378947368421,0.9862599058470484,1.012478540760602
18,0.0001895018947368421,0.9645754912090021,1.0074726874096143
19,0.0002,1.0174231674547642,0.9355258185900636
