,Duration
0,5e-08
1,6.582914572864322e-08
2,8.165829145728643e-08
3,9.748743718592964e-08
4,1.1331658291457285e-07
5,1.2914572864321607e-07
6,1.4497487437185928e-07
7,1.608040201005025e-07
8,1.766331658291457e-07
9,1.9246231155778891e-07
10,2.0829145728643214e-07
11,2.2412060301507535e-07
12,2.3994974874371855e-07
13,2.557788944723618e-07
14,2.7160804020100496e-07
15,2.874371859296482e-07
16,3.032663316582914e-07
17,3.1909547738693465e-07
18,3.3492462311557783e-07
19,3.5075376884422106e-07
20,3.665829145728643e-07
21,3.8241206030150747e-07
22,3.982412060301507e-07
23,4.1407035175879393e-07
24,4.298994974874371e-07
25,4.4572864321608034e-07
26,4.6155778894472357e-07
27,4.773869346733667e-07
28,4.9321608040201e-07
29,5.090452261306532e-07
30,5.248743718592964e-07
31,5.407035175879397e-07
32,5.565326633165829e-07
33,5.723618090452261e-07
34,5.881909547738694e-07
35,6.040201005025126e-07
36,6.198492462311556e-07
37,6.356783919597988e-07
38,6.515075376884421e-07
39,6.673366834170853e-07
40,6.831658291457285e-07
41,6.989949748743718e-07
42,7.14824120603015e-07
43,7.306532663316582e-07
44,7.464824120603015e-07
45,7.623115577889447e-07
46,7.781407035175879e-07
47,7.939698492462311e-07
48,8.097989949748742e-07
49,8.256281407035174e-07
50,8.414572864321606e-07
51,8.572864321608039e-07
52,8.731155778894471e-07
53,8.889447236180903e-07
54,9.047738693467335e-07
55,9.206030150753768e-07
56,9.3643216080402e-07
57,9.522613065326632e-07
58,9.680904522613065e-07
59,9.839195979899497e-07
60,9.99748743718593e-07
61,1.015577889447236e-06
62,1.0314070351758792e-06
63,1.0472361809045224e-06
64,1.0630653266331656e-06
65,1.0788944723618089e-06
66,1.094723618090452e-06
67,1.1105527638190953e-06
68,1.1263819095477386e-06
69,1.1422110552763818e-06
70,1.158040201005025e-06
71,1.173869346733668e-06
72,1.1896984924623113e-06
73,1.2055276381909545e-06
74,1.2213567839195977e-06
75,1.237185929648241e-06
76,1.2530150753768842e-06
77,1.2688442211055274e-06
78,1.2846733668341707e-06
79,1.3005025125628139e-06
80,1.3163316582914571e-06
81,1.3321608040201003e-06
82,1.3479899497487436e-06
83,1.3638190954773868e-06
84,1.3796482412060298e-06
85,1.395477386934673e-06
86,1.4113065326633163e-06
87,1.4271356783919595e-06
88,1.4429648241206027e-06
89,1.458793969849246e-06
90,1.4746231155778892e-06
91,1.4904522613065324e-06
92,1.5062814070351757e-06
93,1.522110552763819e-06
94,1.5379396984924621e-06
95,1.5537688442211054e-06
96,1.5695979899497484e-06
97,1.5854271356783916e-06
98,1.6012562814070348e-06
99,1.617085427135678e-06
100,1.6329145728643213e-06
101,1.6487437185929645e-06
102,1.6645728643216078e-06
103,1.680402010050251e-06
104,1.6962311557788942e-06
105,1.7120603015075375e-06
106,1.7278894472361807e-06
107,1.743718592964824e-06
108,1.7595477386934671e-06
109,1.7753768844221102e-06
110,1.7912060301507534e-06
111,1.8070351758793966e-06
112,1.8228643216080399e-06
113,1.838693467336683e-06
114,1.8545226130653263e-06
115,1.8703517587939695e-06
116,1.8861809045226128e-06
117,1.902010050251256e-06
118,1.9178391959798995e-06
119,1.9336683417085427e-06
120,1.949497487437186e-06
121,1.9653266331658287e-06
122,1.981155778894472e-06
123,1.996984924623115e-06
124,2.0128140703517584e-06
125,2.0286432160804016e-06
126,2.044472361809045e-06
127,2.060301507537688e-06
128,2.0761306532663313e-06
129,2.0919597989949746e-06
130,2.107788944723618e-06
131,2.123618090452261e-06
132,2.1394472361809043e-06
133,2.1552763819095475e-06
134,2.1711055276381907e-06
135,2.186934673366834e-06
136,2.202763819095477e-06
137,2.2185929648241204e-06
138,2.2344221105527636e-06
139,2.250251256281407e-06
140,2.26608040201005e-06
141,2.281909547738693e-06
142,2.297738693467336e-06
143,2.3135678391959794e-06
144,2.3293969849246226e-06
145,2.345226130653266e-06
146,2.361055276381909e-06
147,2.3768844221105523e-06
148,2.3927135678391955e-06
149,2.4085427135678388e-06
150,2.424371859296482e-06
151,2.4402010050251252e-06
152,2.4560301507537684e-06
153,2.4718592964824117e-06
154,2.487688442211055e-06
155,2.503517587939698e-06
156,2.5193467336683414e-06
157,2.5351758793969846e-06
158,2.551005025125628e-06
159,2.566834170854271e-06
160,2.5826633165829143e-06
161,2.5984924623115575e-06
162,2.6143216080402007e-06
163,2.630150753768844e-06
164,2.645979899497487e-06
165,2.6618090452261304e-06
166,2.6776381909547737e-06
167,2.6934673366834165e-06
168,2.7092964824120597e-06
169,2.725125628140703e-06
170,2.740954773869346e-06
171,2.7567839195979894e-06
172,2.7726130653266326e-06
173,2.788442211055276e-06
174,2.804271356783919e-06
175,2.8201005025125623e-06
176,2.8359296482412056e-06
177,2.8517587939698488e-06
178,2.867587939698492e-06
179,2.8834170854271352e-06
180,2.8992462311557785e-06
181,2.9150753768844217e-06
182,2.930904522613065e-06
183,2.946733668341708e-06
184,2.9625628140703514e-06
185,2.9783919597989946e-06
186,2.994221105527638e-06
187,3.010050251256281e-06
188,3.0258793969849243e-06
189,3.0417085427135675e-06
190,3.0575376884422108e-06
191,3.073366834170854e-06
192,3.089195979899497e-06
193,3.10502512562814e-06
194,3.1208542713567833e-06
195,3.1366834170854265e-06
196,3.1525125628140697e-06
197,3.168341708542713e-06
198,3.184170854271356e-06
199,3.2e-06
